claim_id,subject,claim,source_id,evidence,confidence,used_in_scoring,public,notes
C001,"Преп-Центр","Есть отдельная услуга фулфилмента строительной химии",S002,"Профильная страница услуги","HIGH",TRUE,TRUE,""
C002,"Преп-Центр","В профильном кейсе принято 5 200 единиц и 9 SKU",S001,"5200 единиц; 9 SKU","HIGH",TRUE,TRUE,""
C003,"Преп-Центр","На входном контроле выявлены протечки, деформация, неплотные крышки и пересорт",S001,"9 протечек; 11 деформаций; 14 крышек; 18 пересорта","HIGH",TRUE,TRUE,""
C004,"Преп-Центр","5 180 единиц последовательно прошли термоусадку и ВПП",S001,"5180 операций каждого типа","HIGH",TRUE,TRUE,""
C005,"Преп-Центр","За 3 рабочих дня сформированы 148 коробов и 4 поставки WB/Ozon",S001,"3 дня; 148 коробов; 4 поставки","HIGH",TRUE,TRUE,""
C006,"Преп-Центр","Допуск зависит от состава, класса опасности, температуры и условий хранения",S002,"Прямо указанные ограничения","HIGH",TRUE,TRUE,""
C007,"Helpberries","Опубликован кейс производителя лакокрасочных материалов",S006,"Краски, грунтовки, герметики, шпатлевки","HIGH",TRUE,TRUE,""
C008,"Helpberries","В кейсе перемещено 18 000 единиц и 110 SKU",S006,"18000 единиц; 110 SKU","HIGH",TRUE,TRUE,""
C009,"Helpberries","Для тяжелых банок разработана усиленная упаковка и проведены краш-тесты",S006,"Короб с перегородками, стрейч, падение/вибрация","HIGH",TRUE,TRUE,""
C010,"Helpberries","Для туб и мелкой фасовки использованы пузырчатая пленка и ZIP-пакеты",S006,"Профильная упаковка мелкой фасовки","HIGH",TRUE,TRUE,""
C011,"Helpberries","В кейсе заявлено снижение возвратов по повреждениям с 4,5% до 0,6%",S006,"4.5% -> 0.6%","HIGH",TRUE,TRUE,""
C012,"Helpberries","В кейсе описана API-интеграция и учет остатков в реальном времени",S006,"API и личный кабинет","HIGH",TRUE,TRUE,""
C013,"Контракт Фактори","Компания специализируется на химическом сырье и бытовой химии",S010,"Контрактное производство химии","HIGH",TRUE,TRUE,""
C014,"Контракт Фактори","Стороннюю продукцию принимают, пересчитывают и проверяют целостность упаковки",S009,"Прямое описание услуги","HIGH",TRUE,TRUE,""
C015,"Контракт Фактори","Доступны ВПП, термоусадка, микрогофрокартон и поставки на WB/Ozon",S009,"Набор операций","HIGH",TRUE,TRUE,""
C016,"E-Fulfillment","Компания работает с Лемана ПРО, Петрович и ВсеИнструменты",S012,"Строительный сегмент","HIGH",TRUE,TRUE,""
C017,"E-Fulfillment","Подтверждены FBO/FBS, Честный знак и склад 4 600 м²",S012,"Полный цикл и масштаб","HIGH",TRUE,TRUE,""
C018,"E-Fulfillment","Склад расположен в Логопарке Быково рядом со складами строительных сетей",S014,"Локация и инфраструктура","HIGH",TRUE,TRUE,""
C019,"ПроФасовка","Есть отдельная услуга фасовки строительных смесей",S015,"Прямая категорийная страница","HIGH",TRUE,TRUE,""
C020,"ПроФасовка","Подтвержден фулфилмент для Ozon и Wildberries",S016,"FBO/FBS и подготовка поставок","HIGH",TRUE,TRUE,""
